symbol,total_return,sharpe_ratio,max_drawdown,win_rate,total_trades,final_portfolio_value,data_points
018260,0,0,0,0,0,0,138
009150,0,0,0,0,0,0,138
009155,0,0,0,0,0,0,138
005930,0,0,0,0,0,0,138
005935,0,0,0,0,0,0,138
001360,0,0,0,0,0,0,138
010140,0,0,0,0,0,0,138
016360,0,0,0,0,0,0,138
068290,0,0,0,0,0,0,138
029780,0,0,0,0,0,0,138
000810,0,0,0,0,0,0,138
002810,0,0,0,0,0,0,138
005680,0,0,0,0,0,0,138
023000,0,0,0,0,0,0,138
002450,0,0,0,0,0,0,138
004440,0,0,0,0,0,0,138
000520,0,0,0,0,0,0,138
009770,0,0,0,0,0,0,138
005500,0,0,0,0,0,0,138
004690,0,0,0,0,0,0,138
010960,0,0,0,0,0,0,138
004450,0,0,0,0,0,0,138
009470,0,0,0,0,0,0,138
011230,0,0,0,0,0,0,138
001820,0,0,0,0,0,0,138
000390,0,0,0,0,0,0,138
001290,0,0,0,0,0,0,138
041650,0,0,0,0,0,0,138
075180,0,0,0,0,0,0,138
007540,0,0,0,0,0,0,138
248170,0,0,0,0,0,0,138
007860,0,0,0,0,0,0,138
200880,0,0,0,0,0,0,138
017390,0,0,0,0,0,0,138
031210,0,0,0,0,0,0,77
004410,0,0,0,0,0,0,138
004415,0,0,0,0,0,0,138
021050,0,0,0,0,0,0,138
008490,0,0,0,0,0,0,138
136490,0,0,0,0,0,0,138
014910,0,0,0,0,0,0,138
306200,0,0,0,0,0,0,138
003030,0,0,0,0,0,0,138
019440,0,0,0,0,0,0,138
058650,0,0,0,0,0,0,138
013000,0,0,0,0,0,0,138
021820,0,0,0,0,0,0,138
067830,0,0,0,0,0,0,138
075580,0,0,0,0,0,0,138
068270,0,0,0,0,0,0,138
336370,0,0,0,0,0,0,138
014915,0,0,0,0,0,0,138
004980,0,0,0,0,0,0,138
004985,0,0,0,0,0,0,138
011300,0,0,0,0,0,0,138
000180,0,0,0,0,0,0,138
002420,0,0,0,0,0,0,138
004360,0,0,0,0,0,0,138
004365,0,0,0,0,0,0,138
004490,0,0,0,0,0,0,138
001430,0,0,0,0,0,0,138
005800,0,0,0,0,0,0,138
001720,0,0,0,0,0,0,138
009270,0,0,0,0,0,0,138
002700,0,0,0,0,0,0,138
002870,0,0,0,0,0,0,138
019170,0,0,0,0,0,0,138
019175,0,0,0,0,0,0,138
481850,0,0,0,0,0,0,138
404990,0,0,0,0,0,0,138
293940,0,0,0,0,0,0,138
33637K,0,0,0,0,0,0,138
33637L,0,0,0,0,0,0,138
248070,0,0,0,0,0,0,138
004430,0,0,0,0,0,0,138
017550,0,0,0,0,0,0,138
126720,0,0,0,0,0,0,138
053210,0,0,0,0,0,0,138
026890,0,0,0,0,0,0,138
134790,0,0,0,0,0,0,138
462870,0,0,0,0,0,0,138
055550,0,0,0,0,0,0,138
004080,0,0,0,0,0,0,138
004770,0,0,0,0,0,0,138
403550,0,0,0,0,0,0,138
004920,0,0,0,0,0,0,138
112610,0,0,0,0,0,0,138
480370,0,0,0,0,0,0,76
308170,0,0,0,0,0,0,138
008700,0,0,0,0,0,0,138
090430,0,0,0,0,0,0,138
016590,0,0,0,0,0,0,138
029530,0,0,0,0,0,0,138
004970,0,0,0,0,0,0,138
011930,0,0,0,0,0,0,138
005390,0,0,0,0,0,0,138
004170,0,0,0,0,0,0,138
035510,0,0,0,0,0,0,138
031430,0,0,0,0,0,0,138
031440,0,0,0,0,0,0,138
006880,0,0,0,0,0,0,138
090435,0,0,0,0,0,0,138
002790,0,0,0,0,0,0,138
00279K,0,0,0,0,0,0,138
002795,0,0,0,0,0,0,138
002030,0,0,0,0,0,0,138
183190,0,0,0,0,0,0,138
002310,0,0,0,0,0,0,138
012170,0,0,0,0,0,0,138
267850,0,0,0,0,0,0,138
020560,0,0,0,0,0,0,138
