symbol,total_return,sharpe_ratio,max_drawdown,win_rate,total_trades,composite_score,rank
001065,0,0,0,0,0,0.2,87
096760,0,0,0,0,0,0.2,88
105560,0,0,0,0,0,0.2,89
415640,0,0,0,0,0,0.2,90
432320,0,0,0,0,0,0.2,91
002380,0,0,0,0,0,0.2,92
344820,0,0,0,0,0,0.2,93
009070,0,0,0,0,0,0.2,94
092220,0,0,0,0,0,0.2,95
204320,0,0,0,0,0,0.2,96
060980,0,0,0,0,0,0.2,97
011200,0,0,0,0,0,0.2,98
035000,0,0,0,0,0,0.2,99
002460,0,0,0,0,0,0.2,100
487570,0,0,0,0,0,0.2,101
298050,0,0,0,0,0,0.2,102
015360,0,0,0,0,0,0.2,103
175330,0,0,0,0,0,0.2,104
234080,0,0,0,0,0,0.2,105
000120,0,0,0,0,0,0.2,106
011150,0,0,0,0,0,0.2,107
001045,0,0,0,0,0,0.2,108
097950,0,0,0,0,0,0.2,109
097955,0,0,0,0,0,0.2,110
000480,0,0,0,0,0,0.2,111
000590,0,0,0,0,0,0.2,112
012030,0,0,0,0,0,0.2,113
005830,0,0,0,0,0,0.2,114
016610,0,0,0,0,0,0.2,115
017860,0,0,0,0,0,0.2,116
092780,0,0,0,0,0,0.2,117
017940,0,0,0,0,0,0.2,118
365550,0,0,0,0,0,0.2,119
383220,0,0,0,0,0,0.2,120
007700,0,0,0,0,0,0.2,121
114090,0,0,0,0,0,0.2,122
078930,0,0,0,0,0,0.2,123
006360,0,0,0,0,0,0.2,124
001250,0,0,0,0,0,0.2,125
000990,0,0,0,0,0,0.2,126
001530,0,0,0,0,0,0.2,127
000210,0,0,0,0,0,0.2,128
000215,0,0,0,0,0,0.2,129
375500,0,0,0,0,0,0.2,130
37550L,0,0,0,0,0,0.2,131
37550K,0,0,0,0,0,0.2,132
007340,0,0,0,0,0,0.2,133
004840,0,0,0,0,0,0.2,134
155660,0,0,0,0,0,0.2,135
058850,0,0,0,0,0,0.2,136
058860,0,0,0,0,0,0.2,137
093050,0,0,0,0,0,0.2,138
003550,0,0,0,0,0,0.2,139
034220,0,0,0,0,0,0.2,140
051900,0,0,0,0,0,0.2,141
051905,0,0,0,0,0,0.2,142
064400,0,0,0,0,0,0.2,143
373220,0,0,0,0,0,0.2,144
003555,0,0,0,0,0,0.2,145
010060,0,0,0,0,0,0.2,146
178920,0,0,0,0,0,0.2,147
001340,0,0,0,0,0,0.2,148
005490,0,0,0,0,0,0.2,149
010950,0,0,0,0,0,0.2,150
010955,0,0,0,0,0,0.2,151
034120,0,0,0,0,0,0.2,152
005090,0,0,0,0,0,0.2,153
001380,0,0,0,0,0,0.2,154
004060,0,0,0,0,0,0.2,155
003620,0,0,0,0,0,0.2,156
016380,0,0,0,0,0,0.2,157
001390,0,0,0,0,0,0.2,158
001940,0,0,0,0,0,0.2,159
025000,0,0,0,0,0,0.2,160
092230,0,0,0,0,0,0.2,161
000040,0,0,0,0,0,0.2,162
044450,0,0,0,0,0,0.2,163
030200,0,0,0,0,0,0.2,164
033780,0,0,0,0,0,0.2,165
400760,0,0,0,0,0,0.2,166
005940,0,0,0,0,0,0.2,167
005945,0,0,0,0,0,0.2,168
338100,0,0,0,0,0,0.2,169
034310,0,0,0,0,0,0.2,170
030190,0,0,0,0,0,0.2,171
008260,0,0,0,0,0,0.2,172
004250,0,0,0,0,0,0.2,173
004255,0,0,0,0,0,0.2,174
456040,0,0,0,0,0,0.2,175
032640,0,0,0,0,0,0.2,176
011070,0,0,0,0,0,0.2,177
066570,0,0,0,0,0,0.2,178
066575,0,0,0,0,0,0.2,179
037560,0,0,0,0,0,0.2,180
051910,0,0,0,0,0,0.2,181
051915,0,0,0,0,0,0.2,182
079550,0,0,0,0,0,0.2,183
006260,0,0,0,0,0,0.2,184
010120,0,0,0,0,0,0.2,185
000680,0,0,0,0,0,0.2,186
229640,0,0,0,0,0,0.2,187
108320,0,0,0,0,0,0.2,188
001120,0,0,0,0,0,0.2,189
108670,0,0,0,0,0,0.2,190
108675,0,0,0,0,0,0.2,191
383800,0,0,0,0,0,0.2,192
023150,0,0,0,0,0,0.2,193
035420,0,0,0,0,0,0.2,194
181710,0,0,0,0,0,0.2,195
001770,0,0,0,0,0,0.2,196
002360,0,0,0,0,0,0.2,197
009160,0,0,0,0,0,0.2,198
033530,0,0,0,0,0,0.2,199
123700,0,0,0,0,0,0.2,200
025530,0,0,0,0,0,0.2,201
034730,0,0,0,0,0,0.2,202
011790,0,0,0,0,0,0.2,203
018670,0,0,0,0,0,0.2,204
001740,0,0,0,0,0,0.2,205
006120,0,0,0,0,0,0.2,206
006125,0,0,0,0,0,0.2,207
210980,0,0,0,0,0,0.2,208
395400,0,0,0,0,0,0.2,209
302440,0,0,0,0,0,0.2,210
326030,0,0,0,0,0,0.2,211
402340,0,0,0,0,0,0.2,212
361610,0,0,0,0,0,0.2,213
100090,0,0,0,0,0,0.2,214
